subtopic,importance,media,year,journal,title,authors,vol,issue,page,doi,pmid,open_access,verify,key_features
anaortic_total_arterial,5,figure_rich,2023,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Minimally Invasive Off-Pump Anaortic Complete Arterial Coronary Artery Bypass: How to Do It?,Mavioglu I,18,4,376-379,10.1177/15569845231185333,37464774,,match,anaortic / no-touch; off-pump; total arterial; left thoracotomy MICS; step-by-step how-to
anaortic_total_arterial,5,video,2020,The Multimedia Manual of Cardio-Thoracic Surgery,Off-pump bilateral internal thoracic artery grafting—surgical technique,,2020,,,10.1510/mmcts.2020.047,33155774,,match,off-pump; BITA; bilateral ITA; total arterial; surgical technique
anaortic_total_arterial,5,video,2020,The Multimedia Manual of Cardio-Thoracic Surgery,"Mastering Off-Pump, Total Arterial Coronary Artery Bypass Grafting: A step-by-step approach",,2020,,,10.1510/mmcts.2020.003,31990154,,match,anaortic; total arterial; composite graft; T/Y/K/I graft; ITA/radial harvest
anaortic_total_arterial,5,figure_rich,2018,Annals of Cardiothoracic Surgery,"Dual inflow, total-arterial, anaortic, off-pump coronary artery bypass grafting: how to do it","Ramponi F, Seco M, Edelman JB, Sherrah AG et al",7,4,552-560,10.21037/acs.2018.06.17,30094221,,match,anaortic; total-arterial; dual inflow; RIMA-radial tandem; off-pump; heart positioning
anaortic_total_arterial,4,figure_rich,2024,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Robot-Assisted Minimally Invasive Coronary Artery Bypass Grafting: Total Arterial Revascularization Using the Double-Docking Technique,"Yusuf MM, Bansal V, Venkatesh A, Chandrasekharan GA et al",19,4,402-408,10.1177/15569845241266250,39267396,,match,robot-assisted; BIMA total arterial; double-docking technique; MIDCAB
anaortic_total_arterial,4,standard,2024,JTCVS Techniques,Off-pump coronary artery bypass grafting with clampless aortic anastomosis devices: Aortic sealing devices versus automated anastomosis punching,"Gerçek M, Skuljevic T, Deutsch M, Gummert J et al",24,,92-104,10.1016/j.xjtc.2024.01.010,38835575,yes,match,clampless proximal; aortic sealing device; automated anastomosis punching; stroke reduction
anaortic_total_arterial,4,standard,2009,The Annals of Thoracic Surgery,"A New No-Touch Aorta Technique for Arterial-Source, Off-Pump Coronary Surgery","Cirillo M, Messina A, Tomba MD, Brunelli F et al",88,4,e46-e47,10.1016/j.athoracsur.2009.07.045,19766780,,match,no-touch aorta; RITA proximal stump inflow; saphenous vein; anaortic
anaortic_total_arterial,4,figure_rich,2007,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Hand-Sewn Proximal Anastomoses in Off-Pump Coronary Artery Bypass without the Need for Partial Occlusion Clamping: Experience with the HEARTSTRING II Proximal Seal System,"Schoettle GP, Jones CB",2,4,198-200,10.1177/155698450700200406,,,match,clampless proximal; HEARTSTRING II; proximal seal; hand-sewn aortic anastomosis; no side-clamp
anaortic_total_arterial,3,figure_rich,2024,Annals of Cardiothoracic Surgery,Surgical implant of Medtronic Penditure left atrial appendage exclusion clip during off-pump bilateral internal thoracic artery coronary artery bypass grafting,"Torregrossa G, Baudo M, Yakobitis A, Murray C et al",13,2,182-183,10.21037/acs-2024-afm-23,38590990,yes,match,off-pump; BITA; LAA clip; Penditure; concomitant
anaortic_total_arterial,3,standard,2016,The Annals of Thoracic Surgery,A Safe Technique for Using an Enclose II Anastomosis Assist Device During Off-Pump Coronary Bypass.,"Matsushita T, Masuda S, Kanzaki T",102,6,e581-e582,10.1016/j.athoracsur.2016.05.102,27847090,,match,Enclose II; clampless proximal; aortic punch; anastomosis assist device
anaortic_total_arterial,3,figure_rich,2014,Annals of cardiothoracic surgery,Off-pump bilateral internal thoracic artery grafting,Saha KK.,3,2,E1,10.3978/j.issn.2225-319x.2014.02.09,24790855,,resolves(doi.org→annalscts; old prefix),OPCAB; BITA; off-pump; internal thoracic artery
anaortic_total_arterial,3,standard,2012,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,The Results of the Enclose II Proximal Anastomotic Device in 178 Off-Pump Coronary Artery Bypass Surgeries,"Seto Y, Yokoyama H, Takase S, Tanji M et al",7,4,242-246,10.1177/155698451200700402,,,match,Enclose II; clampless proximal; proximal anastomotic device; OPCAB
anaortic_total_arterial,3,figure_rich,2010,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,"""Beyond Beating Heart Surgery"": Heartstring Device Protects against Perioperative Neurological Events","Sakopoulos AG, Jacobson JG, Wilson DR, Huse WM",5,2,118-121,10.1177/155698451000500209,,,match,HeartString; clampless proximal; no-touch aorta; OPCAB
anaortic_total_arterial,2,standard,2026,JTCVS Techniques,Aortic arch approach using clampless anastomosis for high-flow microaxial pump: An alternative in challenging anatomy,"Nakahara Y, Iwakura T, Marui A, Sumi K et al",35,,102182,10.1016/j.xjtc.2025.102182,41658902,yes,match,clampless anastomosis; aortic arch approach; microaxial pump; challenging anatomy
anaortic_total_arterial,2,standard,2013,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Off-Pump Total Arterial Revascularization in the Absence of the Left Main Coronary Artery,"Tavilla G, Ghamati M",8,5,389-390,10.1177/155698451300800513,,,match,total arterial; off-pump; absent left main; anatomic variant
exposure_stabilization,5,figure_rich,2024,JTCVS Techniques,Standardized exposure of the lateral and posterior wall in off-pump minimally invasive cardiac surgical coronary artery bypass grafting,"Albert A, Petrov G, Smiris K, Angleitner P",26,,61-63,10.1016/j.xjtc.2024.06.002,39156549,yes,match,heart exposure; lateral wall; posterior wall; standardized positioning; off-pump MICS
exposure_stabilization,5,standard,2006,Multimedia Manual of Cardio-Thoracic Surgery,Off-pump myocardial revascularization,"DeSimone J, Sergeant P",2006,1009,mmcts.2004.000539,10.1510/mmcts.2004.000539,24413385,,match,off-pump; pericardial sling exposure; apical suction stabilizer; no-touch aorta; intracoronary shunt
exposure_stabilization,4,figure_rich,2024,Annals of Cardiothoracic Surgery,Exposure technique for the circumflex artery territory in robotic totally endoscopic coronary artery bypass grafting,"Bonatti J, Ashraf SF, Seese L, Toma C et al",13,5,452-454,10.21037/acs-2023-rcabg-12,39434978,yes,match,exposure; circumflex territory; TECAB; heart positioning
exposure_stabilization,4,video,2024,Multimedia Manual of Cardio-Thoracic Surgery,Minimally invasive off-pump bypass grafting—positioning the right posterior descending coronary artery,,2024,,,10.1510/mmcts.2024.012,39041591,,match,off-pump; minimally invasive; heart positioning; PDA grafting; thoracoscopic identification
exposure_stabilization,4,figure_rich,2015,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Off-Pump Minimally Invasive Coronary Artery Bypass Grafting with a Heart Positioner Direct Retraction for a Better Exposure,"Kikuchi K, Une D, Suzuki K, Endo Y et al",10,3,183-187,10.1177/155698451501000307,,,match,MICS CABG; heart positioner; direct retraction; lateral/inferior exposure
exposure_stabilization,4,figure_rich,2015,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Exposures of Lateral and Inferior Cardiac Surface for Coronary Anastomosis during Minimally Invasive Coronary Artery Bypass Grafting,"Pande S, Gupta D, Siddartha C, Bansal A et al",10,1,73-75,10.1177/155698451501000114,,,match,MICABG; deep pericardial suture; lateral/inferior exposure; multivessel
exposure_stabilization,4,figure_rich,2007,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Displacement of the Beating Heart with a Low-Profile Suction-Based Apical Positioning Device in a Closed Chest,"Mykytenko J, Vassiliades TA, Vinten-Johansen J",2,1,14-19,10.1177/155698450700200103,,,match,apical suction positioner; closed chest; endoscopic exposure; heart displacement; RV function; Trendelenburg
exposure_stabilization,3,standard,2013,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Target Vessel Detection by Epicardial Ultrasound in Off-Pump Coronary Bypass Surgery,"Hayakawa M, Asai T, Kinoshita T, Suzuki T et al",8,4,249-252,10.1097/imi.0b013e3182a75e95,24081214,,match,epicardial ultrasound; intramyocardial coronary; target vessel localization; OPCAB technique
exposure_stabilization,3,figure_rich,2009,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,"Tissue Stabilizer Reverse Mounting in Minimally Invasive Direct Coronary Artery Bypass, a Simple Tool in Difficult Times","Mourad F, Duncan AJ",4,2,117-117,10.1177/155698450900400211,,,match,tissue stabilizer; reverse mounting; MIDCAB; technical tip
exposure_stabilization,3,figure_rich,2008,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Hemodynamic Assessment Using Apical Suction versus Pericardial Retraction in Beating Heart Surgery,"Gummert JF, Raumanns J, Opfermann UT, Bossert T et al",3,3,125-130,10.1177/155698450800300303,,,match,apical suction; Xpose; pericardial retraction; heart displacement; exposure
exposure_stabilization,3,standard,2008,Kyobu geka. The Japanese journal of thoracic surgery,Stabilizing technique of intra-fat coronary artery in off-pump coronary artery bypass grafting.,"Ito T, Nakayama M, Abe T, Hagiwara H, Nakayama T, Yoshizumi T.",61,6,460-1,,18536293,,no-doi,epicardial fat; suction stabilizer; traction suture; visualization
exposure_stabilization,3,figure_rich,2006,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,A New Multisuction Cardiac Positioner for Multivessel Off-Pump Coronary Artery Bypass Grafting,"Arai H, Mizuno T, Yoshizaki T, Itoh F et al",1,3,126-130,10.1177/155698450600100307,,,match,multisuction positioner; heart exposure; multivessel OPCAB; device
exposure_stabilization,3,standard,2001,European Journal of Cardio-Thoracic Surgery,A simple method for heart stabilization during off-pump multi-vessel coronary artery bypass grafting: surgical technique and short term results,"Rama A, Mohammadi S, Leprince P, Gandjbakhch I",19,1,105-107,10.1016/s1010-7940(00)00604-7,11163574,,match,heart stabilization; fenestrated PTFE patch; deep myocardial sutures; off-pump multivessel
anastomosis_grafts,5,figure_rich,2024,Annals of Cardiothoracic Surgery,How to perform distal anastomosis using a robotic platform: totally endoscopic coronary artery bypass,"Bonatti J, Ashraf SF, Winter M, Rubino TE et al",13,4,382-384,10.21037/acs-2023-rcabg-0211,39157189,yes,match,distal anastomosis; TECAB; robotic; suturing technique
anastomosis_grafts,4,standard,2024,JTCVS Techniques,Minimally invasive coronary artery bypass grafting using the skeletonized right gastroepiploic artery,"Sakai H, Yamauchi A, Tachibana K, Masuda K et al",28,,82-90,10.1016/j.xjtc.2024.09.016,39669358,yes,match,skeletonized RGEA; total arterial; no-touch aorta; MICS-CABG; conduit
anastomosis_grafts,4,standard,2017,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Assistive Techniques for Proximal Anastomosis in Minimally Invasive Coronary Artery Bypass Grafting,"Kikuchi K, Endo Y",12,3,224-226,10.1177/155698451701200312,,,match,MICS CABG; proximal anastomosis; side-biting clamp; Octopus stabilizer; aortic access
anastomosis_grafts,3,figure_rich,2024,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Coronary Connector Facilitated Total Endoscopic Coronary Artery Bypass: An Ex Vivo Feasibility Study,"Gianoli M, de Jong AR, Wassink HM, Gründeman PF et al",19,6,640-647,10.1177/15569845241288540,39473063,yes,match,Octocon connector; automated anastomosis; TECAB; jump/Y-graft
anastomosis_grafts,3,figure_rich,2024,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Adjunctive Technique for Proximal Anastomosis via Right Anterior Small Thoracotomy in Minimally Invasive Coronary Artery Bypass Grafting,"Sakai H, Kikuchi K, Masuda K, Sai Y et al",19,2,210-212,10.1177/15569845241237541,38504143,,match,proximal anastomosis; right anterior small thoracotomy; MICS CABG; adjunctive technique
anastomosis_grafts,3,standard,2018,Surgery Today,Segmental clamp and distal perfusion technique for reducing myocardial ischemia during coronary onlay grafting on a beating heart.,"Minato N, Okada T, Kanemoto S, Zempo N",48,5,566-570,10.1007/s00595-017-1623-6,29318373,,match,onlay anastomosis; distal perfusion; external shunt; segmental snare clamp
anastomosis_grafts,3,standard,2018,Zhonghua yi xue za zhi,Short-term clinical safety and efficacy of No-touch great saphenous vein harvesting technique for off-pump coronary artery bypass grafting.,"Hua K, Liu TS, Li Y, Zhao Y, Zheng JB, Zhou N, Zhou SY, Dong R.",98,20,1601-1604,10.3760/cma.j.issn.0376-2491.2018.20.015,29886653,,resolves(doi.org→Wanfang; not in CrossRef API),No-touch saphenous vein; vein harvesting; sequential graft; graft flow
anastomosis_grafts,3,figure_rich,2015,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Total Arterial Minimally Invasive Direct Coronary Artery Bypass Surgery Facilitated by the Trinity Clip Connector,"Stecher D, Bronkers G, Hoefer IE, Pasterkamp G et al",10,6,389-393,10.1177/155698451501000604,,,match,total arterial MIDCAB; Trinity Clip connector; RITA-LITA Y-graft; anastomotic device
anastomosis_grafts,3,standard,2014,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Six-Month Healing of the Nonocclusive Coronary Anastomotic Connector in an Off-Pump Porcine Bypass Model,"Stecher D, Agostoni P, Pasterkamp G, Hoefer IE et al",9,2,130-136,10.1097/imi.0000000000000055,24758949,,match,ELANA connector; sutureless anastomosis; ITA-LAD; device technique
anastomosis_grafts,3,figure_rich,2007,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Hemostatic Control of Coronary Arteries with Poloxamer 407 Reverse-Thermal Polymer during Off-Pump Coronary Artery Bypass Surgery in a Pig Model,"Cohn WE, Tuzun E, Simonak R, Baimbridge F",2,1,36-39,10.1177/155698450700200108,,,match,poloxamer 407; intracoronary occlusion; bloodless field; anastomosis aid; hemostasis; pig model
anastomosis_grafts,3,figure_rich,2005,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Transabdominal Off-Pump Coronary Artery Bypass Grafting Using the Right Gastroepiploic Artery,Tavilla G,1,1,32-34,10.1177/155698450500100104,,,match,right gastroepiploic artery; transabdominal approach; conduit; OPCAB grafting
anastomosis_grafts,2,standard,2023,Brazilian Journal of Cardiovascular Surgery,Novel Technique for Box-Lesion Ablation of Atrial Fibrillation Combined with Off-Pump Coronary Surgery,"Zotov A, Borisov D, Troitskiy A, Khabazov R",38,3,326-330,10.21470/1678-9741-2022-0146,36692049,yes,match,off-pump CABG; box-lesion ablation; concomitant AF surgery; bipolar clamp
shunt_flow_hemodynamics,3,figure_rich,2025,JTCVS Techniques,Microaxial flow pump-assisted off-pump coronary artery bypass for low ejection fraction with relative contraindication to cardiopulmonary bypass,"Sun E, Stone M, Adams DH, Anyanwu A",34,,126-128,10.1016/j.xjtc.2025.08.028,41368395,yes,match,microaxial flow pump; off-pump CABG; low EF; hemodynamic support
shunt_flow_hemodynamics,3,figure_rich,2010,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Thermosensitive Polymer Use for Shunt Sealing in Off-Pump Coronary Artery Bypass,"Agostini M, Lemut F, Di Gregorio V, Grossi C",5,2,122-124,10.1177/155698451000500210,,,match,intracoronary shunt; thermosensitive gel; poloxamer P407; blower-free hemostasis
shunt_flow_hemodynamics,3,standard,2007,Multimedia Manual of Cardio-Thoracic Surgery,Pump-assisted beating heart surgery,"Glauber M, Farneti A, Bevilacqua S, Karimov J",2007,0219,,10.1510/mmcts.2004.000943,24413881,,match,pump-assisted; beating heart; mini-ECC; myocardial revascularization
shunt_flow_hemodynamics,3,standard,2004,The Annals of Thoracic Surgery,A simple technique of introducing intracoronary shunts for off-pump coronary artery bypass surgery.,"Yokoyama H, Takase S, Misawa Y, Takahashi K et al",78,1,352-354,10.1016/s0003-4975(03)01156-1,15223470,,match,intracoronary shunt; micro-bulldog clamp; ischemic preconditioning; test clamp
shunt_flow_hemodynamics,3,standard,2002,European Journal of Cardio-Thoracic Surgery,'Shunt shuffle' - a simple technique of introducing intracoronary shunts for off-pump coronary artery bypass,"Patel NC, Pullan D, Fabri BM",21,6,1121-1122,10.1016/s1010-7940(02)00120-3,12048097,,match,intracoronary shunt; shunt insertion tip; off-pump; bloodless field
midcab_mics,5,figure_rich,2025,JTCVS Techniques,"Minimally invasive coronary artery bypass grafting via left anterior minithoracotomy: Setup, results, and evolution of a new surgical procedure","Verevkin A, Dashkevich A, Gadelkarim I, Shaqu R et al",29,,28-39,10.1016/j.xjtc.2024.10.022,39991281,yes,match,MICS-CABG; left anterior minithoracotomy; setup; surgical workflow
midcab_mics,5,video,2025,Multimedia Manual of Cardio-Thoracic Surgery,"Robotic-assisted, minimally invasive direct coronary artery bypass—preparation, conduit harvest and execution",,2025,,,10.1510/mmcts.2025.045,40459585,,match,robotic MIDCAB; LIMA harvest; off-pump LIMA-LAD; port placement
midcab_mics,5,video,2013,Multimedia Manual of Cardio-Thoracic Surgery,Minimally invasive cardiac surgery—coronary artery bypass graft (MICS-CABG),"Lemma M, Atanasiou T, Contino M",2013,0,mmt007-mmt007,10.1093/mmcts/mmt007,24413006,,match,MICS-CABG; no-touch aorta; off-pump; LITA-RA Y-graft; total arterial; minithoracotomy
midcab_mics,4,standard,2025,Brazilian Journal of Cardiovascular Surgery,Triple Arterial Minimally Invasive Direct Coronary Artery Bypass Grafting: Step-By-Step Technique Report,"Grujic D, Aleksic V, Gazibara T, Milicevic V et al",40,5,e20240193,10.21470/1678-9741-2024-0193,40445183,yes,match,MIDCAB; triple arterial; T-graft; sequential/jump anastomosis; LIMA-RA-PDA
midcab_mics,4,figure_rich,2024,JTCVS Techniques,Right-sided minimally invasive direct coronary artery bypass: Preoperative planning and surgical technique,"Hecker F, Salem R, von Zeppelin M, Hlavicka J et al",25,,94-96,10.1016/j.xjtc.2024.02.015,38899107,yes,match,right-sided MIDCAB; preoperative planning; surgical technique; RCA target
midcab_mics,4,figure_rich,2023,JTCVS Techniques,Technique of bilateral internal thoracic artery minimally invasive coronary artery bypass grafting with double-lung ventilation,"Assmann AK, Sixt SU, Lichtenberg A, Assmann A",20,,87-91,10.1016/j.xjtc.2023.05.008,37555029,yes,match,BITA; MICS-CABG; double-lung ventilation; minithoracotomy
midcab_mics,4,figure_rich,2022,JTCVS Techniques,Minimally invasive coronary artery bypass grafting with ultrasonically skeletonized internal thoracic artery,"Tachibana K, Kikuchi K, Narayama K, Okawa A et al",14,,107-113,10.1016/j.xjtc.2022.05.010,35967226,yes,match,MICS-CABG; ultrasonic skeletonization; BITA; aortic no-touch; total arterial
midcab_mics,4,video,2022,Multimedia Manual of Cardio-Thoracic Surgery,Robotic-assisted MIDCAB procedure through a minithoracotomy: step-by-step instructions,,2022,,,10.1510/mmcts.2022.045,36331815,,match,robotic-assisted MIDCAB; minithoracotomy; LITA-LAD; hybrid revascularization; step-by-step
midcab_mics,4,standard,2021,Surgical Technology Online,MINI OPCAB Operation: Surgical Technique.,"Benetti F, Scialacomo N, Mazzolino G",38,,290-293,10.52198/21.sti.38.cv1400,33755939,,match,MINI OPCAB; LIMA-LAD; partial sternotomy; mechanical stabilizer; hybrid
midcab_mics,4,video,2020,The Multimedia Manual of Cardio-Thoracic Surgery,MIDCAB: tips and tricks for a successful procedure,,2020,,,10.1510/mmcts.2020.021,32459073,,match,MIDCAB; LIMA-LAD; tips and tricks; off-pump; hybrid
midcab_mics,4,video,2019,The Multimedia Manual of Cardio-Thoracic Surgery,Robotic-assisted minimally invasive direct coronary artery bypass grafting in single vessel disease,,2019,,,10.1510/mmcts.2019.011,30990582,,match,robotic LIMA harvest; MIDCAB; off-pump; da Vinci Xi; LITA-LAD
midcab_mics,4,video,2015,Multimedia Manual of Cardio-Thoracic Surgery,Left anterior small thoracotomy for minimally invasive coronary artery bypass grafting,,,,,10.1093/mmcts/mmv022,26420246,,match,LAST; MIDCAB; LITA harvest; beating heart; LAD anastomosis
midcab_mics,4,video,2013,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Minimally Invasive Coronary Bypass Using Internal Thoracic Arteries via a Left Minithoracotomy,"Nambiar P, Mittal C",8,6,420-426,10.1177/155698451300800607,,,match,MICS CABG; left minithoracotomy; BITA Y-graft; direct vision harvest
midcab_mics,3,figure_rich,2025,JTCVS Techniques,Bailout reconstruction of injured right internal thoracic artery in minimally invasive coronary artery bypass grafting,"Moriuchi H, Orii M, Fujii T, Shimabukuro N et al",34,,123-125,10.1016/j.xjtc.2025.08.023,41368373,yes,match,MICS-CABG; RITA injury; bailout reconstruction; conduit salvage
midcab_mics,3,figure_rich,2023,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Learning Curve of Thoracoscopic Nonrobotic Harvest of the Left Internal Mammary Artery in Minimally Invasive Coronary Artery Bypass Grafting,"Akca F, ter Woorst J",18,3,262-265,10.1177/15569845231178012,37294049,,match,thoracoscopic LIMA harvest; nonrobotic; MICS-CABG; endoscopic; learning curve
midcab_mics,3,standard,2018,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Evolution of Minimally Invasive Coronary Artery Bypass Grafting,"Andrawes PA, Shariff MA, Nabagiez JP, Steward R et al",13,2,81-90,10.1177/155698451801300202,,,match,MICS CABG; anterolateral thoracotomy; multivessel; standardized approach; learning curve
midcab_mics,3,figure_rich,2011,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Multivessel Awake Off-Pump Coronary Bypass Grafting Using Median Approach: Technical Considerations,"Watanabe G, Ohtake H, Tomita S, Yamaguchi S et al",6,1,23-27,10.1177/155698451100600105,,,match,awake OPCAB; thoracic epidural anesthesia; median sternotomy; active coronary perfusion; stabilizer
midcab_mics,3,figure_rich,2010,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Minimally Invasive Direct Coronary Artery Bypass as a Primary Strategy for Reoperative Myocardial Revascularization,"Balacumaraswami L, Patel NC, Gorki H, Jennings J et al",5,1,22-27,10.1177/155698451000500106,,,match,MIDCAB; reoperative; sternal-sparing; LIMA-LAD
midcab_mics,3,standard,2009,General Thoracic and Cardiovascular Surgery,Minimally invasive cardiac surgery for atrial fibrillation complicated by coronary artery disease: combination of video-assisted pulmonary vein isolation and minimally invasive direct coronary artery bypass,"Totsugawa T, Kuinose M, Nishigawa K, Yoshitaka H et al",57,11,612-615,10.1007/s11748-009-0441-1,19908117,,match,MIDCAB; video-assisted PVI; LITA-LAD; thoracotomy; concomitant AF
robotic_tecab,5,figure_rich,2024,Annals of Cardiothoracic Surgery,Step-by-step technique of robotic-assisted minimally invasive direct coronary artery bypass,"Wertan MC, Sicouri S, Yamashita Y, Baudo M, Senss TA, Spragan D, Torregrossa G, Sutter FP.",13,5,442-451,10.21037/acs-2024-rcabg-0034,39434973,yes,match,R-MIDCAB; robotic LIMA harvest; minithoracotomy; beating heart; LIMA-LAD; step-by-step
robotic_tecab,5,figure_rich,2020,JTCVS Techniques,Totally robotic sutured coronary artery bypass grafting: How we do it,"Torregrossa G, Amabile A, Balkhy HH",3,,170-172,10.1016/j.xjtc.2020.05.018,34317858,yes,match,robotic TECAB; sutured anastomosis; how I do it; totally endoscopic
robotic_tecab,5,video,2020,The Multimedia Manual of Cardio-Thoracic Surgery,Robotic off-pump totally endoscopic hand-sewn coronary artery bypass using in-situ bilateral internal mammary artery,,2020,,,10.1510/mmcts.2020.001,31990160,,match,robotic TECAB; off-pump; hand-sewn anastomosis; in-situ BIMA; totally endoscopic
robotic_tecab,4,figure_rich,2026,JTCVS Techniques,Combined robotic totally endoscopic multivessel coronary artery bypass and mitral valve repair,"Arai A, Kitahara H, Balkhy HH.",35,,102169,10.1016/j.xjtc.2025.102169,41658920,yes,match,robotic; TECAB; multivessel; combined mitral repair; totally endoscopic
robotic_tecab,4,figure_rich,2025,Innovations: Technology and Techniques in Cardiothoracic and Vascular Surgery,Robotic Totally Endoscopic Beating Heart Off-Pump Coronary Bypass: Improvising Coronary Artery Stabilization Without the EndoWrist Stabilizer,"Murtaza G, Cheema NH, Enz J, Balkhy HH",20,3,316-317,10.1177/15569845251339158,40417876,,match,robotic TECAB; beating-heart off-pump; coronary stabilization; no EndoWrist stabilizer
robotic_tecab,4,figure_rich,2024,Annals of Cardiothoracic Surgery,Different styles in trocar placement in robotic-assisted beating heart coronary artery bypass grafting,"Algoet M, Balkhy HH, Dewulf D, Oosterlinck W",13,5,458-460,10.21037/acs-2023-rcabg-0209,39434974,yes,match,trocar placement; port placement; robotic; beating heart
robotic_tecab,4,figure_rich,2024,Annals of Cardiothoracic Surgery,"Total endoscopic coronary artery bypass on a DaVinci Xi platform without an EndoWrist stabilizer combining the technology of GelPOINT Mini, AirSeal, and Octopus Nuvo","Torregrossa G, Yakobitis A, Murray C, Baudo M",13,5,461-463,10.21037/acs-2024-rcabg-0112,39434971,yes,match,TECAB; DaVinci Xi; GelPOINT Mini; AirSeal; Octopus Nuvo stabilizer; device workaround
robotic_tecab,4,video,2024,Multimedia Manual of Cardio-Thoracic Surgery,Robotic-assisted minimally invasive multivessel coronary bypass surgery,,2024,,,10.1510/mmcts.2023.105,38372275,,match,robotic-assisted; multivessel; left anterior thoracotomy; complete revascularization; CT-guided
