PMC11543525	OA	CC BY	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/b0/f3/PMC11543525.tar.gz	-
PMC11291665	OA	CC BY-NC-ND	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/92/80/PMC11291665.tar.gz	-
PMC13208599	OA	CC BY	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/9d/10/PMC13208599.tar.gz	-
PMC12577811	OA	CC BY	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/a9/99/PMC12577811.tar.gz	-
PMC5848807	OA	CC BY-NC	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/3a/ef/PMC5848807.tar.gz	-
PMC13245353	OA	CC BY	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/84/d3/PMC13245353.tar.gz	-
PMC13065456	OA	CC BY-NC-ND	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/a2/0b/PMC13065456.tar.gz	-
PMC12349921	OA	CC BY	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/b5/d2/PMC12349921.tar.gz	-
PMC11742136	OA	CC BY-NC	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/5c/8c/PMC11742136.tar.gz	-
PMC9346377	OA	CC BY-NC	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/26/69/PMC9346377.tar.gz	-
PMC10411098	OA	CC BY-NC-ND	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/88/83/PMC10411098.tar.gz	-
PMC10248914	OA	CC BY-NC-ND	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/7f/94/PMC10248914.tar.gz	-
PMC10713916	NO-OA	idIsNotOpenAccess	-	-
PMC11148763	OA	CC BY-NC-ND	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/2d/89/PMC11148763.tar.gz	-
PMC10661754	OA	CC BY-NC-ND	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/1b/c7/PMC10661754.tar.gz	-
PMC5863134	NO-OA	idIsNotOpenAccess	-	-
PMC8024826	OA	CC BY-NC-ND	ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/oa_package/09/54/PMC8024826.tar.gz	-
PMC3831833	NO-OA	idIsNotOpenAccess	-	-
PMC5505940	NO-OA	idIsNotOpenAccess	-	-
PMC5506162	NO-OA	idIsNotOpenAccess	-	-
PMC5465124	NO-OA	idIsNotOpenAccess	-	-
